name,url,test_type,remote_support,adaptive_support,description,duration
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,K,Yes,No,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7 minutes
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,K,Yes,No,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13 minutes
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,P,Yes,No,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16 minutes
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,K,Yes,No,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6 minutes
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,K,Yes,No,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7 minutes
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,K,Yes,No,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11 minutes
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,K,Yes,No,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9 minutes
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,K,Yes,No,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7 minutes
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,K,Yes,No,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9 minutes
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,K,Yes,No,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5 minutes
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,K,Yes,No,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5 minutes
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,K,Yes,No,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6 minutes
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,K,Yes,No,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6 minutes
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,K,Yes,No,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",8 minutes
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,K,Yes,No,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",13 minutes
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,K,Yes,Yes,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30 minutes
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,E,Yes,No,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform. We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises. Exercises are available across a wide range of job levels and industry contexts. Contact SHL to find out more.",N/A
